,ID_PAQUETE,CATEGORIA_ASIGNADA,ALTO,ANCHO,LARGO,PESO_ASIGNADO,TIPO_MANIPULACION,LUGAR_PROCEDENCIA,TEMPERATURA_ALMACENAMIENTO,PROTOCOLO,LUGAR_PROCEDENCIA_WOE,TIPO_MANIPULACION_NUM,TEMPERATURA_ALMACENAMIENTO_NUM,PROTOCOLO_TARGET
16,17,pequeño,11.47,13.94,16.68,2.018264688922993,normal,A,ambiente,Protocolo_1,-0.07511902747114502,1,1,1
17,18,mediano,39.06,38.86,49.52,10.1,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
18,19,pequeño,14.9,14.65,16.62,4.86988602823191,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
19,20,pequeño,10.12,12.29,18.15,1.4820636135327518,fragil,D,refrigerado,Protocolo_1,-0.009581505147896952,0,0,1
20,21,pequeño,13.21,13.71,16.98,7.552489064921499,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
21,22,mediano,38.03,31.54,43.76,18.804919002434296,normal,A,ambiente,Protocolo_2,-0.07511902747114502,1,1,0
22,23,grande,67.94,68.03,55.67,100.0,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
23,24,pequeño,13.41,21.35,18.63,5.292885789722542,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
24,25,mediano,38.87,37.69,40.97,10.807085672945991,normal,D,ambiente,Protocolo_1,-0.009581505147896952,1,1,1
25,26,pequeño,11.31,14.13,18.44,2.0786992424124002,fragil,D,refrigerado,Protocolo_1,-0.009581505147896952,0,0,1
26,27,pequeño,11.79,17.11,18.36,0.8372751272413899,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
27,28,grande,63.81,63.85,71.02,66.47368471360377,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
28,29,grande,74.75,62.7,76.7,97.03452407254986,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
29,30,pequeño,12.54,10.72,16.99,3.7954578435388298,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
30,31,pequeño,13.45,19.66,15.87,6.947703831672943,normal,B,refrigerado,Protocolo_1,0.04923211956638846,1,0,1
31,32,mediano,36.21,35.17,35.84,27.363246533654884,normal,D,refrigerado,Protocolo_2,-0.009581505147896952,1,0,0
32,33,mediano,36.34,33.32,47.13,10.528766923694914,fragil,A,ambiente,Protocolo_1,-0.07511902747114502,0,1,1
33,34,mediano,39.17,36.8,49.9,21.0842065916311,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
34,35,mediano,35.51,39.22,34.13,13.35630741277896,fragil,A,ambiente,Protocolo_2,-0.07511902747114502,0,1,0
35,36,pequeño,13.08,15.91,15.61,3.457810652459457,normal,C,refrigerado,Protocolo_2,0.04045895222184034,1,0,0
36,37,grande,71.32,56.82,64.07,67.58791030810848,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
37,38,pequeño,15.35,15.99,19.82,7.0599398507392275,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
38,39,pequeño,11.6,11.4,19.14,0.8999071448290739,fragil,B,ambiente,Protocolo_2,0.04923211956638846,0,1,0
39,40,pequeño,12.79,13.64,17.15,6.922538615066154,fragil,D,refrigerado,Protocolo_1,-0.009581505147896952,0,0,1
40,41,mediano,37.71,32.6,36.24,17.31929049471277,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
41,42,mediano,35.26,34.95,31.53,17.513341901792366,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
42,43,mediano,36.59,32.72,40.24,21.5198510444284,normal,D,ambiente,Protocolo_1,-0.009581505147896952,1,1,1
43,44,grande,89.49,58.47,76.29,33.486094678130996,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
44,45,mediano,36.86,34.92,43.24,21.19505149706779,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
45,46,pequeño,13.86,15.38,16.79,5.74520996844484,normal,A,ambiente,Protocolo_1,-0.07511902747114502,1,1,1
46,47,pequeño,10.17,15.34,16.82,3.0826448066012544,fragil,C,refrigerado,Protocolo_2,0.04045895222184034,0,0,0
47,48,mediano,39.98,33.4,39.13,14.87311970000761,normal,D,ambiente,Protocolo_1,-0.009581505147896952,1,1,1
48,49,pequeño,12.38,10.26,17.41,0.1,normal,D,ambiente,Protocolo_2,-0.009581505147896952,1,1,0
49,50,pequeño,11.07,13.24,18.84,8.246987389139182,fragil,D,ambiente,Protocolo_2,-0.009581505147896952,0,1,0
50,51,pequeño,11.35,12.52,20.22,2.9286843933758364,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
51,52,pequeño,13.25,12.43,14.49,4.60649507774511,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
52,53,mediano,36.13,37.56,30.1,25.383375853376606,normal,D,refrigerado,Protocolo_2,-0.009581505147896952,1,0,0
53,54,pequeño,10.57,14.78,16.69,0.18436888807404284,fragil,D,refrigerado,Protocolo_1,-0.009581505147896952,0,0,1
54,55,pequeño,13.26,17.79,15.86,4.438423104419088,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
55,56,mediano,36.92,36.03,34.86,27.072102317937063,fragil,D,refrigerado,Protocolo_1,-0.009581505147896952,0,0,1
56,57,grande,61.18,58.13,60.2,67.75866779245791,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
57,58,pequeño,13.47,19.26,17.44,3.4866871407400977,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
58,59,pequeño,11.17,15.83,19.02,4.336160888640864,normal,C,refrigerado,Protocolo_2,0.04045895222184034,1,0,0
59,60,mediano,36.92,36.46,50.0,17.57782845231748,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
60,61,grande,72.03,56.5,65.43,100.0,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
61,62,mediano,34.57,35.01,42.48,19.343972917559604,normal,D,ambiente,Protocolo_2,-0.009581505147896952,1,1,0
62,63,pequeño,13.4,17.18,16.52,7.950584533481815,normal,A,ambiente,Protocolo_2,-0.07511902747114502,1,1,0
63,64,pequeño,9.4,13.2,16.94,6.288774726094197,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
64,65,pequeño,10.02,14.04,16.33,4.015977758945071,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
65,66,pequeño,12.66,10.49,16.49,5.87398790330718,fragil,B,refrigerado,Protocolo_2,0.04923211956638846,0,0,0
66,67,mediano,39.84,35.78,37.85,15.104743209291927,normal,A,ambiente,Protocolo_2,-0.07511902747114502,1,1,0
67,68,pequeño,12.3,17.44,17.04,3.8899347597848273,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
68,69,pequeño,11.42,13.78,21.77,9.477099106262509,normal,D,ambiente,Protocolo_1,-0.009581505147896952,1,1,1
69,70,mediano,37.41,32.21,33.2,29.58147119055935,normal,C,refrigerado,Protocolo_2,0.04045895222184034,1,0,0
70,71,pequeño,13.93,16.08,17.06,4.588571003420826,normal,D,refrigerado,Protocolo_2,-0.009581505147896952,1,0,0
71,72,pequeño,10.94,15.25,19.11,4.130556226509826,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
72,73,mediano,37.7,37.31,40.64,17.49902807903105,fragil,D,refrigerado,Protocolo_1,-0.009581505147896952,0,0,1
73,74,mediano,37.24,37.56,45.13,18.76560761441525,normal,A,ambiente,Protocolo_2,-0.07511902747114502,1,1,0
74,75,pequeño,14.54,14.2,16.05,6.509630008167977,fragil,B,refrigerado,Protocolo_2,0.04923211956638846,0,0,0
75,76,mediano,39.03,41.04,32.43,20.28977083465657,normal,D,ambiente,Protocolo_1,-0.009581505147896952,1,1,1
76,77,mediano,38.17,36.68,44.77,15.6227334076747,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
77,78,grande,73.09,58.14,71.92,51.733784231121426,normal,A,ambiente,Protocolo_2,-0.07511902747114502,1,1,0
78,79,pequeño,14.09,16.03,20.41,8.006499080148195,normal,A,ambiente,Protocolo_2,-0.07511902747114502,1,1,0
79,80,pequeño,11.51,11.9,18.13,6.962979119428901,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
80,81,mediano,36.28,32.6,40.84,27.048592254488632,normal,D,ambiente,Protocolo_2,-0.009581505147896952,1,1,0
81,82,mediano,34.64,34.45,35.44,10.1,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
82,83,grande,70.15,60.09,71.22,60.84923610036858,normal,B,ambiente,Protocolo_2,0.04923211956638846,1,1,0
83,84,pequeño,11.48,13.07,17.43,10.0,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
84,85,mediano,36.24,34.38,34.8,30.0,normal,B,refrigerado,Protocolo_1,0.04923211956638846,1,0,1
85,86,pequeño,10.24,15.99,17.61,6.53800742619702,fragil,C,ambiente,Protocolo_2,0.04045895222184034,0,1,0
86,87,mediano,36.45,30.4,31.85,22.172055812548102,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
87,88,mediano,35.61,33.35,38.37,25.59070925446317,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
88,89,pequeño,13.02,20.12,18.74,7.063665012815839,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
89,90,pequeño,12.01,13.75,15.41,4.730738383259389,normal,D,ambiente,Protocolo_1,-0.009581505147896952,1,1,1
90,91,grande,82.0,60.26,68.31,98.51149478936124,fragil,C,ambiente,Protocolo_2,0.04045895222184034,0,1,0
91,92,mediano,36.49,34.02,41.1,19.549005098219435,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
92,93,pequeño,13.55,11.66,21.5,8.243846271254348,fragil,C,ambiente,Protocolo_2,0.04045895222184034,0,1,0
93,94,mediano,38.02,34.53,38.17,18.95601242014566,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
94,95,mediano,38.22,39.63,31.45,30.0,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
95,96,mediano,35.19,33.61,31.23,20.93639432460411,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
96,97,mediano,36.83,32.77,38.08,19.591795939003646,normal,B,refrigerado,Protocolo_1,0.04923211956638846,1,0,1
97,98,pequeño,13.89,9.16,16.86,2.9176999255359397,fragil,B,ambiente,Protocolo_1,0.04923211956638846,0,1,1
98,99,mediano,35.84,36.11,50.0,24.845096529768654,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
99,100,mediano,36.44,37.55,46.64,16.618587447405396,fragil,A,ambiente,Protocolo_1,-0.07511902747114502,0,1,1
100,101,pequeño,12.32,11.7,16.26,8.863701745718512,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
101,102,grande,85.3,60.41,72.34,100.0,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
102,103,mediano,39.24,33.77,43.97,20.786211469259058,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
103,104,mediano,38.58,33.7,30.1,19.869592020812114,normal,A,ambiente,Protocolo_2,-0.07511902747114502,1,1,0
104,105,pequeño,11.92,15.1,19.35,3.427177031926915,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
105,106,pequeño,11.61,14.8,16.98,5.174486371350612,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
106,107,pequeño,13.06,15.44,16.92,4.503863268801372,fragil,A,refrigerado,Protocolo_2,-0.07511902747114502,0,0,0
107,108,grande,53.2,57.56,80.95,35.048998945156725,fragil,A,refrigerado,Protocolo_2,-0.07511902747114502,0,0,0
108,109,pequeño,12.73,17.32,18.09,10.0,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
109,110,pequeño,14.83,15.05,18.38,1.4919111206032194,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
110,111,grande,64.61,57.48,70.94,100.0,fragil,C,ambiente,Protocolo_2,0.04045895222184034,0,1,0
111,112,pequeño,11.93,15.61,17.97,6.055467267356068,fragil,A,refrigerado,Protocolo_2,-0.07511902747114502,0,0,0
112,113,pequeño,12.08,20.58,18.7,5.437288320804784,fragil,D,ambiente,Protocolo_2,-0.009581505147896952,0,1,0
113,114,mediano,35.49,30.75,42.89,15.601018062416838,normal,D,ambiente,Protocolo_1,-0.009581505147896952,1,1,1
114,115,mediano,38.12,35.9,37.25,19.368162112668358,fragil,A,ambiente,Protocolo_1,-0.07511902747114502,0,1,1
115,116,pequeño,12.59,15.84,17.66,7.948857464384952,fragil,A,ambiente,Protocolo_2,-0.07511902747114502,0,1,0
116,117,pequeño,11.09,14.76,16.24,4.682352077145142,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
117,118,pequeño,11.1,18.67,17.39,8.341469659141543,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
118,119,mediano,37.67,36.85,38.28,19.237284219910993,normal,B,refrigerado,Protocolo_2,0.04923211956638846,1,0,0
119,120,pequeño,11.92,15.19,16.68,1.2425392384359868,normal,D,ambiente,Protocolo_2,-0.009581505147896952,1,1,0
120,121,pequeño,11.89,17.84,16.82,4.472782623163592,normal,D,ambiente,Protocolo_2,-0.009581505147896952,1,1,0
121,122,pequeño,11.51,13.43,17.67,2.2420432611035968,normal,B,refrigerado,Protocolo_1,0.04923211956638846,1,0,1
122,123,pequeño,11.85,14.5,15.97,5.296616857001641,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
123,124,pequeño,11.37,14.93,17.23,5.7933834180003645,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
124,125,grande,72.94,52.17,66.04,75.54804911948905,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
125,126,grande,61.38,60.87,70.93,72.87967268780767,fragil,A,refrigerado,Protocolo_2,-0.07511902747114502,0,0,0
126,127,pequeño,14.3,13.28,17.03,0.9865146406257965,fragil,D,refrigerado,Protocolo_2,-0.009581505147896952,0,0,0
127,128,pequeño,13.75,18.09,15.89,5.789996253700699,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
128,129,mediano,34.98,34.81,41.73,21.23115843308211,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
129,130,pequeño,12.42,21.88,17.31,5.595032581694026,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
130,131,pequeño,12.75,19.14,15.43,0.1,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
131,132,mediano,33.74,38.45,42.97,13.8853683027908,fragil,A,refrigerado,Protocolo_2,-0.07511902747114502,0,0,0
132,133,mediano,36.97,32.5,48.32,22.099200346299092,fragil,A,refrigerado,Protocolo_2,-0.07511902747114502,0,0,0
133,134,grande,92.15,50.1,77.63,100.0,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
134,135,pequeño,13.63,16.25,17.62,4.076551286519044,normal,B,ambiente,Protocolo_2,0.04923211956638846,1,1,0
135,136,pequeño,13.84,15.88,16.66,2.8716693901947243,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
136,137,mediano,34.27,38.66,44.06,20.77645885670028,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
137,138,pequeño,16.09,22.67,15.89,2.5523340762827598,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
138,139,grande,63.1,50.24,69.85,85.34555518335947,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
139,140,pequeño,12.48,14.67,15.53,3.97158890026738,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
140,141,grande,80.24,68.32,81.8,96.3436423865796,fragil,B,ambiente,Protocolo_1,0.04923211956638846,0,1,1
141,142,pequeño,16.83,19.22,19.27,7.171271788879245,fragil,A,ambiente,Protocolo_2,-0.07511902747114502,0,1,0
142,143,mediano,39.72,39.5,31.7,22.381998663786433,normal,A,ambiente,Protocolo_1,-0.07511902747114502,1,1,1
143,144,mediano,35.61,34.29,40.45,19.628173578668015,fragil,C,refrigerado,Protocolo_2,0.04045895222184034,0,0,0
144,145,pequeño,12.8,10.35,17.46,0.1,fragil,C,refrigerado,Protocolo_1,0.04045895222184034,0,0,1
145,146,pequeño,11.56,11.68,21.31,3.9538249806110013,normal,C,refrigerado,Protocolo_2,0.04045895222184034,1,0,0
146,147,pequeño,12.66,14.46,18.75,5.27787674101969,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
147,148,mediano,38.19,36.69,30.1,15.0461581446475,fragil,B,ambiente,Protocolo_2,0.04923211956638846,0,1,0
148,149,mediano,38.06,32.52,30.2,25.783673535124773,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
149,150,pequeño,13.46,15.13,19.26,3.847446710383018,fragil,B,ambiente,Protocolo_1,0.04923211956638846,0,1,1
150,151,mediano,38.62,31.17,30.1,21.493222830967255,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
151,152,grande,65.14,50.32,75.81,71.23603246579053,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
152,153,mediano,39.49,30.29,37.4,27.16313537361296,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
153,154,mediano,40.98,35.37,44.45,10.1,fragil,A,ambiente,Protocolo_2,-0.07511902747114502,0,1,0
154,155,pequeño,14.23,7.31,15.5,6.540749007052598,normal,D,refrigerado,Protocolo_2,-0.009581505147896952,1,0,0
155,156,pequeño,12.29,13.75,17.23,5.726041263189319,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
156,157,mediano,38.51,38.04,36.86,22.573933224248407,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
157,158,pequeño,12.33,18.19,19.2,8.653961405332312,normal,A,ambiente,Protocolo_1,-0.07511902747114502,1,1,1
158,159,pequeño,11.78,18.32,16.4,5.483962073818904,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
159,160,mediano,38.3,35.33,36.76,28.304055885534922,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
160,161,pequeño,11.1,15.47,17.67,3.451557696114687,normal,A,ambiente,Protocolo_1,-0.07511902747114502,1,1,1
161,162,pequeño,11.71,16.72,18.51,9.135527867117773,fragil,C,refrigerado,Protocolo_1,0.04045895222184034,0,0,1
162,163,pequeño,12.98,14.57,15.14,2.7362797867040736,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
163,164,pequeño,10.86,9.99,18.45,2.5815707986412693,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
164,165,pequeño,11.19,15.63,17.89,3.878624588140623,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
165,166,pequeño,12.29,18.67,18.19,0.5969456439788488,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
166,167,pequeño,11.5,11.61,17.45,7.042918096573919,fragil,C,refrigerado,Protocolo_2,0.04045895222184034,0,0,0
167,168,pequeño,13.68,13.51,13.96,3.593898799605846,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
168,169,mediano,38.07,30.8,38.74,13.115399895044021,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
169,170,pequeño,10.59,13.75,16.57,3.1941320270204114,fragil,B,ambiente,Protocolo_2,0.04923211956638846,0,1,0
170,171,mediano,37.94,33.04,45.46,10.440968429243009,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
171,172,pequeño,9.97,20.22,16.86,2.351228244203159,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
172,173,pequeño,10.42,13.94,16.52,8.771018164315343,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
173,174,mediano,36.86,35.91,38.0,27.22282445549614,normal,D,refrigerado,Protocolo_2,-0.009581505147896952,1,0,0
174,175,mediano,37.12,35.04,45.88,20.556890917659178,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
175,176,pequeño,14.41,13.21,16.91,5.473697260652257,normal,C,refrigerado,Protocolo_2,0.04045895222184034,1,0,0
176,177,mediano,35.46,30.19,37.19,14.81026761850844,fragil,C,refrigerado,Protocolo_2,0.04045895222184034,0,0,0
177,178,mediano,38.73,30.1,48.68,14.70875038013591,normal,B,refrigerado,Protocolo_2,0.04923211956638846,1,0,0
178,179,pequeño,9.03,11.87,16.47,6.193473884700695,fragil,B,ambiente,Protocolo_1,0.04923211956638846,0,1,1
179,180,grande,68.1,52.97,61.73,48.35075144054173,fragil,C,refrigerado,Protocolo_2,0.04045895222184034,0,0,0
180,181,grande,96.57,59.67,62.07,77.83151316395113,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
181,182,pequeño,14.4,13.61,18.3,4.624794638839278,fragil,D,refrigerado,Protocolo_2,-0.009581505147896952,0,0,0
182,183,pequeño,12.97,15.63,15.04,6.647521731825309,fragil,D,refrigerado,Protocolo_2,-0.009581505147896952,0,0,0
183,184,grande,88.22,64.64,82.0,53.27820787515215,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
184,185,pequeño,15.06,15.83,17.03,4.068758728051488,normal,B,refrigerado,Protocolo_1,0.04923211956638846,1,0,1
185,186,grande,48.13,61.61,67.04,60.01479990387249,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
186,187,pequeño,13.23,18.34,15.35,6.262539450474621,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
187,188,mediano,35.44,33.88,36.33,26.65212789985188,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
188,189,pequeño,10.56,20.6,17.52,6.027881459059451,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
189,190,mediano,38.02,32.89,45.6,10.1,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
190,191,pequeño,15.07,15.2,21.11,7.517159140076395,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
191,192,pequeño,11.61,13.66,18.37,6.468851178329613,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
192,193,mediano,38.27,39.38,45.06,20.525560793787147,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
193,194,mediano,36.69,36.34,43.53,10.216999694144457,normal,D,refrigerado,Protocolo_2,-0.009581505147896952,1,0,0
194,195,pequeño,12.48,19.52,18.18,6.780789134308744,fragil,B,ambiente,Protocolo_1,0.04923211956638846,0,1,1
195,196,mediano,36.09,38.75,39.79,20.94669170436543,normal,B,ambiente,Protocolo_2,0.04923211956638846,1,1,0
196,197,pequeño,13.28,11.77,17.95,1.7874127989652182,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
197,198,pequeño,12.68,20.69,17.71,5.874955229749963,fragil,D,ambiente,Protocolo_2,-0.009581505147896952,0,1,0
198,199,mediano,40.24,37.48,44.38,12.537134020566764,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
199,200,grande,93.15,55.89,64.6,52.12728312657051,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
200,201,pequeño,13.51,13.88,15.94,4.692878426681704,fragil,A,ambiente,Protocolo_1,-0.07511902747114502,0,1,1
201,202,mediano,36.5,37.13,37.2,10.1,fragil,C,ambiente,Protocolo_2,0.04045895222184034,0,1,0
202,203,mediano,37.69,33.09,37.91,26.93333645223129,normal,C,ambiente,Protocolo_1,0.04045895222184034,1,1,1
203,204,pequeño,7.17,10.49,18.07,5.605863619713562,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
204,205,mediano,35.95,37.95,40.51,22.144617007109243,normal,D,ambiente,Protocolo_2,-0.009581505147896952,1,1,0
205,206,mediano,36.91,37.97,39.95,12.428912688382393,normal,D,ambiente,Protocolo_2,-0.009581505147896952,1,1,0
206,207,mediano,39.21,31.23,34.39,17.263771681097122,normal,C,refrigerado,Protocolo_2,0.04045895222184034,1,0,0
207,208,pequeño,10.29,13.73,17.97,8.107251485624008,fragil,A,ambiente,Protocolo_1,-0.07511902747114502,0,1,1
208,209,grande,101.43,58.32,70.18,66.63254405138775,normal,B,refrigerado,Protocolo_1,0.04923211956638846,1,0,1
209,210,mediano,38.17,38.47,35.19,17.918546548468864,fragil,D,ambiente,Protocolo_1,-0.009581505147896952,0,1,1
210,211,pequeño,10.66,16.98,20.16,0.1,fragil,B,refrigerado,Protocolo_1,0.04923211956638846,0,0,1
211,212,mediano,36.5,34.52,44.16,30.0,normal,A,refrigerado,Protocolo_2,-0.07511902747114502,1,0,0
212,213,pequeño,12.72,13.23,17.54,0.1,normal,A,ambiente,Protocolo_2,-0.07511902747114502,1,1,0
213,214,mediano,36.16,37.82,36.86,26.526557935919698,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
214,215,mediano,39.61,32.63,40.94,12.331925106021403,normal,D,refrigerado,Protocolo_1,-0.009581505147896952,1,0,1
215,216,pequeño,11.77,15.7,17.33,7.395340656678348,normal,C,refrigerado,Protocolo_1,0.04045895222184034,1,0,1
216,217,pequeño,13.56,17.21,15.62,1.5044161698165142,fragil,D,ambiente,Protocolo_2,-0.009581505147896952,0,1,0
